Author,Date,Text,Location,TweetedFromLocation,RetweetStatus,RetweetCount
Hasan08931491,2019-11-05 22:57:11,RT ArielElyseGold Israeli logic we steal their water and then generously help them fight their water shortages. ,nan,Nan,False,0
selambenhypatia,2019-11-05 22:57:11,RT spectatorindex Felt anger in the previous day. Iran 43 Turkey 40 Pakistan 38 Italy 30 Spain 30 India 27 Saudi 26 Nigeri,nan,Nan,False,0
suswatibasu,2019-11-05 22:57:12,"RT AlwynFJH Twitter I'm only telling you this b c in the Referendum my flatmates were from NZ, Canada amp Australia and NONE of them knew t",London,Nan,False,0
SBTracy1,2019-11-05 22:57:13,RT AndrewScheer Former Liberal Premier Frank McKenna absolutely nails it. Justin Trudeaus attacks on the energy sector have driven jo,nan,Nan,False,0
RayHC2,2019-11-05 22:57:14,RT OtagoGrad Persistent pipeline delays amp opposition have hampered the Canadian O amp G industry. That's unlikely to change. May be time fo,nan,Nan,False,0
chfbc,2019-11-05 22:57:15,RT thomjarmstrong How many RVs would it take to encircle Surrey City Hall... ,Vancouver,Nan,False,0
madclam1970,2019-11-05 22:57:15,"RT Dai James1942 Quite so. The Conservative Party stands for nothing these days, but has presided over mass immigration, signed the UN Mi","Wrexham, Wales",Nan,False,0
DatSwan07,2019-11-05 22:57:15,RT BenStinar Anthony Edwards makes his debut for the University of Georgia tonight. I have him as a top 2 pick in next summers NBA Draf,nan,Nan,False,0
raulmonttoya,2019-11-05 22:57:15,RT spectatorindex Best countries to travel alone 1. Spain 2. Italy 3. NZ 5. Australia 7. Brazil 8. Ireland 12. Canada 13. Mexico 17. Fr,nan,Nan,False,0
Faymus1,2019-11-05 22:57:16,RT AtikamekshengA Congratulations to Ogimaa Duke Peltier for his new position of Anishinabek Nation Children's Commissioner ,"Wikwemikong Unceded, Ontario",Nan,False,0
alexaaaa111,2019-11-05 22:57:16," MTomaz9 BREAKING NEWS New Line of Canada Goose Jackets Feature Hair AND Skin of Oconomowoc Native, Maddi Tomaz","Minneapolis, MN",Nan,False,0
MyGott,2019-11-05 22:57:16, fordnation MonteMcNaughton skillsontario Doug Ford building a united Canada with the help of a skilled labour fo ,nan,Nan,False,0
paoloigna1,2019-11-05 22:57:16,Biden ancora in testa nel conteggio nazionale ma... I saw this on the BBC and thought you should see it US electi ,nan,Cagliari,False,0
gperry70,2019-11-05 22:57:16,"RT Monaheart1229 Well, whaddya know Ohio lawmaker is seeking to compel GOP Rep. Jim Jordan to testify under oath about whether he was aw","New Mexico, USA",Nan,False,0
